,fr,ru,ru_opusmt,ru_pred
11697,"Dimanche dernier, ma famille est allée au zoo pour voir des pandas.","В прошлое воскресенье мы всей семьёй ходили в зоопарк, чтобы посмотреть на панд.","В воскресенье моя семья поехала в зоопарк, чтобы увидеть панды.","В воскресенье, моя семья поехала в зоопарк, чтобы увидеть пандас."
11698,Tu as trois voitures.,У тебя три машины.,У тебя три машины.,У тебя три машины.
11699,Il entra dans la pièce sur la pointe des pieds.,Он на цыпочках вошёл в комнату.,Он пошёл в комнату на вершину ног.,Он залез в комнату на верхнюю часть ног.
11700,Ils séjournèrent à Rome jusqu'en septembre.,Они пробыли в Риме до сентября.,Они переехали в Рим до сентября.,Они жили в Риме до сентября.
11701,Il a employé des méthodes injustes.,Он использовал нечестные методы.,Он использовал несправедливые методы.,Он использовал несправедливые методы.
11702,L'huile et l'eau ne sont pas miscibles.,Масло и вода не смешиваются.,Мясо и вода не облажаются.,Вода и масло не облагаются.
11703,N'oubliez pas d'aller le voir demain.,Не забудьте навестить его завтра.,Не забудьте о встрече с ним завтра.,"Не забудь о том, чтобы завтра увидеть его."
11704,Son influence s'étend sur tout le pays.,Его влияние распространяется на всю страну.,Его влияние распространяется на всю страну.,Ее влияние на всю страну.
11705,Il me semble que c'est une personne de parole.,"Мне кажется, он человек слова.","Кажется, это человек, который говорит.","Я думаю, что это человек, который говорит."
11707,Le cheval est un animal utile.,Лошадь - полезное животное.,Лошадь - это полезное животное.,Лошадь - это полезное животное.
11708,"Non seulement parle-t-elle anglais, mais aussi allemand.","Она говорит не только по-английски, но и по-немецки.","Она не только говорит по-английски, но и по-немецки.","Не только говорите по-английски, но и немецкий."
11710,De nombreuses personnes furent tuées par l'explosion.,От взрыва погибло множество людей.,Многие погибли в результате взрыва.,Многие люди погибли в результате взрыва.
11711,Ne riez pas à ses dépens.,Не потешайтесь над ним.,Не смей тратить на него деньги.,Не смей тратить на него деньги.
11712,Il ressemble à son grand-père.,Он похож на своего деда.,Он похож на своего деда.,Он похож на своего деда.
11713,Il semble qu'il va pleuvoir ce soir.,"Похоже, вечером будет дождь.","Кажется, он сегодня пойдёт.","Похоже, он сегодня будет бледно."
11714,"C'est moyen, rien d'extraordinaire.","Так себе, ничего особенного.","Это возможно, ничего необычного.","Это случится, ничего удивительного."
11715,Il a étudié la possibilité d'une collaboration.,Он рассмотрел возможность сотрудничества.,Он рассмотрел возможность налаживания сотрудничества.,Он рассмотрел возможность налаживания сотрудничества.
11716,Les conducteurs de bus sont en grève aujourd'hui.,Водители автобусов сегодня бастуют.,Сегодня автобусные водители на забастовке.,Сегодня автобусные водители забастовки.
11717,Je ne pensais pas que vous viendriez.,"Я не думал, что вы придёте.","Я не думала, что ты пойдешь.","Я не думал, что вы будете жить."
11718,C'est absurde.,Это бессмысленно.,Это абсурд.,Это абсурд.
11721,Je suis déçu.,Я разочарован.,Я разочарован.,Я разочарован.
11722,Je parle bien japonais.,Я хорошо говорю по-японски.,Я хорошо говорю по-японски.,Я хорошо говорю по-японски.
11723,Je parle bien le japonais.,Я хорошо говорю по-японски.,Я говорю по-японски.,Я говорю на японском.
11724,Vous feriez mieux de partir.,Вам лучше уйти.,Вам лучше уйти.,Вам лучше уйти.
11725,"Maintenant, vous feriez mieux de partir.",Сейчас вам лучше уйти.,Теперь вам лучше уйти.,А теперь вам лучше уйти.
11726,Je vais essayer de faire des exercices physiques tous les jours.,Буду стараться каждый день делать физические упражнения.,Я попробую проводить физические учения каждый день.,Я буду пытаться проводить физические учения каждый день.
11727,"Hier, j’ai aidé mon père.",Я вчера помог отцу.,Вчера я помог моему отцу.,Вчера я помог моему отцу.
11728,"Hier, j’ai fait un rêve surprenant.",Я вчера видел удивительный сон.,Вчера я снился с удивительным соном.,Вчера я сделал удивительную мечту.
11729,Hier j'étais malade.,Вчера я был болен.,Вчера я был болен.,Вчера я был болен.
11730,Je l’ai payé la semaine dernière.,Я ему заплатил на прошлой неделе.,Я заплатил ему на прошлой неделе.,Я заплатил ей на прошлой неделе.
11731,"S’il vient, dites-lui de m’attendre.","Если он придёт, скажите, чтобы подождал меня.","Скажи ему, что подождёт.","Скажи ему, что он ждет."
11732,Mon père est grand.,Мой отец высокий.,Мой отец взрослый.,Мой отец взрослый.
11733,Ce nouveau magasin ouvrira dans une semaine.,Этот новый магазин откроется через неделю.,Этот новый магазин откроется через неделю.,Новый магазин откроется через неделю.
11734,Ils avaient faim.,Они были голодны.,Они были голодны.,Они голодны.
11737,«Est-ce que ça va si je me joins à vous ?» «Naturellement !»,"«Ничего, если я пойду с вами?» — «Конечно!»","Как дела, если я присоединяюсь к вам?","Как дела, если я присоединяюсь к вам?"
11738,Je ne sais pas ce que c'est.,"Я не знаю, что это.","Я не знаю, что это такое.","Я не знаю, что это такое."
11739,Je ne sais pas ce que c’est.,"Я не знаю, что это.","Я не знаю, что скажешь.","Я не знаю, что скажешь."
11740,J'ignore ce que c'est.,"Я не знаю, что это.","Я не знаю, что это такое.","Я не знаю, что это такое."
11741,J'ignore ce dont il s'agit.,"Я не знаю, что это.","Я не знаю, что это такое.","Не знаю, что это такое."
11742,Ils vécurent heureux et eurent beaucoup d'enfants.,Они жили счастливо и умерли в один день.,Они жили счастливо и много детей.,Они жили счастливо и много детей.
11743,Prends celui que tu préfères.,"Бери тот, что больше нравится.","Возьми того, кого ты предпочитаешь.","Возьми тот, кого ты предпочитаешь."
11745,Le sol est recouvert de neige.,Земля покрыта снегом.,Земля покрыта снегом.,Земля снежна.
11746,Je te suis très reconnaissant pour ton conseil.,Я очень признателен тебе за совет.,Я очень благодарен за твой совет.,Я очень благодарен тебе за твой совет.
11747,Elle n'a pas moins de trente ans.,Её не меньше тридцати.,Ей не менее 30 лет.,Ей не меньше 30 лет.
11748,Quel homme chanceux il est.,Какой же он везунчик!,Какой счастливый человек.,Как счастливчик.
11749,Son défunt mari était violoniste.,Её покойный муж был скрипачом.,Его покойный муж был насильником.,Ее покойный муж был насильником.
11751,Je n'ai pas beaucoup de temps.,У меня не очень много времени.,У меня мало времени.,У меня мало времени.
11753,À côté de chez moi il y a quelques magasins.,Рядом с моим домом есть несколько магазинов.,рядом со мной есть несколько магазинов.,У меня дома есть несколько магазинов.
11754,Où irons-nous après la mort ?,Куда мы отправимся после смерти?,Куда мы поедем после смерти?,Куда мы поедем после смерти?
11755,Maman fait à manger dans la cuisine.,Мама готовит еду на кухне.,Мама ест на кухне.,Мама ест на кухне.
11756,Cet article ridiculise les végétariens.,Эта статья осмеивает вегетарианцев.,Эта статья попирает вегетарианцев.,Эта статья попирает вегетарианцев.
11757,Votre message doit contenir au moins dix caractères.,Ваше сообщение должно содержать не менее десяти символов.,Ваше сообщение должно содержать по меньшей мере 10 символов.,Ваше сообщение должно содержать по меньшей мере 10 символов.
11758,Levez la main avant de répondre.,"Поднимите руку, прежде чем отвечать.",Поднимите руку перед ответом.,"Поднимите руку, прежде чем ответьте."
11759,Je ne dis pas que tes réponses sont toujours fausses.,"Я не говорю, что твои ответы всегда неправильны.","Я не говорю, что твои ответы все еще неверны.","Я не говорю, что твои ответы всегда неверны."
11760,Je ne pense pas qu'elle soit à la maison.,"Не думаю, что она дома.","Я не думаю, что она дома.","Не думаю, что она дома."
11761,Merci de séparer la pizza en trois parts.,"Разрежьте, пожалуйста, пиццу на три части.","Спасибо, что разделила пиццу на три части.","Спасибо, что разлучили пиццу на три части."
11763,Il a peur du chien.,Он боится собаки.,Он боится собаки.,Он боится собаки.
11764,Il était aux portes de la mort.,Он был на пороге смерти.,Он был у дверей смерти.,Он был на двери смерти.
11765,Ce gâteau est sucré.,Этот пирог сладкий.,Этот торт сладкий.,Это же торт сухий.
11766,Tom ne court pas aussi vite que Bill.,"Том бегает не так быстро, как Билл.","Том не бегает так быстро, как Билл.","Том не бегает так быстро, как Билл."
11767,Je suis végétarien.,Я вегетарианец.,Я вегетарианец.,Я вегетарианец.
11768,Je suis un végétarien.,Я вегетарианец.,Я вегетарианец.,Я вегетарианец.
11769,"Je ne mange pas de viande, pas de poisson et pas de fruits de mer, ni de bouillon d'origine animale.","Я не ем ни мясо, ни рыбу, ни морепродукты или бульоны животного происхождения.","Я не ем мяса, рыбы и морских фруктов, а также бульона животного происхождения.","Я не ем мяса, рыбы и морских фруктов, а также бульона животных."
11770,Il m'a fait un compliment.,Он мне сделал комплимент.,Он сделал мне комплимент.,Он сделал мне комплимент.
11772,Devant ma maison il y a un lac.,Перед моим домом есть озеро.,Перед моим домом есть озеро.,В моем доме есть озеро.
11774,Il y a un hôpital près d'ici.,Здесь недалеко есть больница.,Здесь есть больница.,У нас есть больница.
11776,Qu'est-ce qui t'a fait venir ici si tôt ?,Что привело тебя сюда так рано?,Что привело тебя сюда так рано?,Что привело тебя сюда так рано? - Да.
11777,S'est-il passé quoi que ce soit d'étrange ?,Произошло что-то странное?,Что-то странное?,- Что-то странное?
11778,Une lettre ne rougit pas.,Бумага не краснеет.,Письмо не вышло.,Письмо не вышло.
11779,Ô doux nom de la liberté !,"О, это сладкое слово - ""свобода""!",Сладкое имя свободы!,"О, милое имя свободы!"
11780,Les dés sont jetés.,Жребий брошен.,Отчаянные отрубы выбрасываются.,Развалы выбрасываются.
11781,Nous apprenons pour la vie et non pas pour l'école.,"Мы учимся не для для школы, но для жизни.","Мы учимся за жизнь, а не за школу.","Мы учимся за жизнь, а не за школу."
11782,"Je suis venu, j'ai vu, j'ai vaincu.","Пришёл, увидел, победил.","Я пришёл, увидел, победил.","Я приехала, увидела, победила."
11784,"Tant que je respire, j'espère.","Пока дышу, надеюсь.","Надеюсь, пока я дышу.","Пока я дышу, надеюсь."
11785,L'homme est un loup pour l'homme.,Человек человеку волк.,Человек - волк для человека.,Мужчина - волк для человека.
11786,L'argent n'a pas d'odeur.,Деньги не пахнут.,Деньги не пахнут.,Деньги не пахнут.
11787,"Après la mort, il n'y a rien.",После смерти ничего нет.,После смерти ничего нет.,После смерти ничего не происходит.
11788,Les hommes croient ce qu'ils veulent croire.,"Люди верят в то, во что хотят верить.","Люди верят в то, что хотят верить.","Люди верят, что хотят верить."
11789,La jeune fille se tenait devant son auditoire.,Девушка стояла перед аудиторией.,Девушка стояла перед аудиторией.,Девочка стояла у ее аудитора.
11790,La fille se tenait devant l’auditorium.,Девушка стояла перед аудиторией.,Девушка стояла перед проклятием.,Девочка была на Вифлееме. - Да.
11791,J’étais seul dans la salle de cours.,Я был один в аудитории.,Я был один в классе.,Я был один в классе.
11792,Il était en Amérique à ce moment-là.,Он тогда был в Америке.,Он был в Америке в тот момент.,В тот момент он был в Америке.
11793,Comment t'appelles-tu ?,Как тебя зовут?,Как тебя зовут?,Как тебя зовут?
11795,Comment tu t’appelles ?,Как тебя зовут?,Как тебя зовут?,Как ты звонишь?
11796,Comment t'appelles-tu?,Как тебя зовут?,Как тебя зовут?,Как тебя зовут?
11797,Je m'appelle Ichiro Tanaka.,Меня зовут Танака Ичиро.,Меня зовут Ичиро Танака.,Меня зовут Ичиро Танака.
11798,J’ai oublié comment il s’appelle.,"Я забыл, как его зовут.","Я забыл, как его зовут.","Я забыл, как его зовут."
11799,Quel est son prénom ?,Как его зовут?,Как его зовут?,Как его зовут?
11800,Quel est votre nom ?,Как Вас зовут?,Как вас зовут?,Как тебя зовут?
11802,Comment est-ce que vous vous appelez ?,Как Вас зовут?,Как вас зовут?,Как тебя зовут?
11803,Il faut être cinglé pour faire quelque chose comme ça.,"Надо быть не в своём уме, чтобы сделать нечто подобное.","Мы должны быть сумасшедшими, чтобы сделать что-то подобное.","Нам нужно быть сумасшедшим, чтобы сделать что-то подобное."
11804,"Je m'appelle Tamako, et toi ?","Меня зовут Тамако, а тебя?","Меня зовут Тамако, а ты?","Я Тамако, а ты?"
11805,Je m’appelle Cyril. Enchanté !,"Меня зовут Кирилл, рад познакомиться.",Я зову Сирил.,Я зову Сирил.
11806,L'amour est aveugle.,Любовь слепа.,Любовь слепа.,Любовь слепа.
11807,Faire d’une pierre deux coups.,Один камень — две бабочки.,Два выстрела из камня.,Наполнить камень двумя выстрелами.
11808,Ne remets pas à demain ce que tu peux faire aujourd’hui.,"Не откладывай на завтра то, что можно сделать сегодня.","Не возвращайся завтра к тому, что ты можешь сделать сегодня.","Не возвращайся завтра к тому, что ты можешь сделать сегодня."
11809,Il n’est point de remède contre la maladie d’amour.,Нет лекарства от болезни любви.,Он не лечится от болезни безнадёжной любви.,Он не читает лекарство от болезни Вифлеема.
11810,Le Paradis et l’Enfer n’existent que dans le cœur des gens.,Ад и Рай существуют лишь в сердцах людей.,Рай и Афер существуют только в сердце людей.,Рая и Ефер существуют только в сердце людей.
11811,Tout ce qui existe en ce monde n’est qu’un rêve.,"Всё, что существует на свете, — только сон.","Все, что существует в этом мире, - это лишь мечта.",В этом мире все - это лишь мечта.
11812,Les belles fleurs ne font pas de bons fruits.,Красивые цветы хороших плодов не приносят.,Красивые цветы не приносят хороших плодов.,Неплохие цветы приносят хорошие плоды.
11813,En quelle année êtes-vous nés ?,В каком году вы родились?,В каком году вы родились?,Сколько лет вы родились?
11814,En quelle année êtes-vous nées ?,В каком году вы родились?,В каком году вы родились?,Сколько лет вы родились?
11817,Ils ont combattu pour leur patrie.,Они сражались за родину.,Они сражались за свою родину.,Они сражались за свою родину.
11818,Saluez votre père de ma part.,Передавайте от меня привет отцу.,Приветствуйте своего отца от меня.,Приветствуйте отца.
11819,Écrivez votre date de naissance ici.,Напишите здесь дату своего рождения.,Напишите вашу дату рождения здесь.,Напишите дату рождения здесь.
11820,Elle m'a téléphoné.,Она мне позвонила.,Она позвонила мне.,Она позвонила мне.
11821,Tokyo est la capitale du Japon.,Токио - столица Японии.,Токио - столица Японии.,Токио - столица Японии.
11823,Il a construit une clôture autour de sa maison.,Он построил забор вокруг дома.,Он построил забор вокруг своего дома.,Он построил забор вокруг дома.
11824,Donne-moi la clé de cette serrure !,Дай мне ключ от этого замка.,Дай мне ключ от этой замки!,Дай ключ от этой замки!
11825,Donne-moi la clé de ce château !,Дай мне ключ от этого замка.,Дай мне ключ от этого замка!,Дай ключ от этого замка!
11826,C'est la plus belle autruche que j'ai jamais vue.,"Это самый красивый страус, которого я когда-либо видел.","Это самая красивая красавица, которую я когда-либо видел.","Это самая красивая вибратура, которую я видел."
11827,"Nous allons à l'école tous les jours, sauf le dimanche.","Мы ходим в школу каждый день, кроме воскресенья.","Мы едем в школу каждый день, кроме воскресенья.","Каждый день мы едем в школу, за исключением воскресенья."
11828,Est-ce que c'est moins cher d'appeler après 9h ?,После девяти звонить дешевле?,Не стоит звонить после 9 часов?,Разве это не дорого звонить после 9 часов?
11829,Où est ta chambre ?,Где твоя комната?,Где твоя комната?,Где твоя комната?
11830,Son appareil photo est 3 fois plus cher que le mien.,Его фотоаппарат в три раза дороже моего.,Его фотоаппарат в три раза выше моего.,Его фотоаппарат в три раза больше моей.
11832,Il a voyagé dans le monde entier.,Он путешествовал по всему свету.,Он путешествовал по всему миру.,Он путешествовал по всему миру.
11833,Je collectionne les cuillères à café en argent.,Я коллекционирую серебряные кофейные ложки.,Я коллекционирую кофейные ложки в деньгах.,Я собираю кафе ложки.
11834,Cette montagne fait 3 000 mètres d'altitude.,Эта гора имеет высоту три тысячи метров.,Эта гора на высоте 3000 метров.,Эта гора на высоте 3 000 метров.
11835,Cette ville est à 1600 mètres au-dessus du niveau de la mer.,Этот город находится на высоте 1600 метров над уровнем моря.,Этот город находится на высоте 1600 метров над уровнем моря.,Этот город в 1600 метров выше уровня моря.
11836,Marie comprend le chinois.,Мария понимает по-китайски.,Мэри понимает китайский.,Мэри понимает китайский.
11837,La musique est une langue universelle.,Музыка является универсальным языком.,Музыка - универсальный язык.,Музыка - это всеобщий язык.
11839,"Étant très fatiguée, j'allai me coucher tôt.","Поскольку я очень устала, я рано пошла спать.","Как усталая, я скоро уйду спать.","Как очень устала, я скоро уйду спать."
11840,Comment vas-tu dernièrement ?,Как твои дела в последнее время?,Как ты в последнее время?,Как ты?
11841,Tu es occupé ces derniers temps ?,Ты занят в последнее время?,Ты занята в последнее время?,Ты занят в последнее время?
11842,De quoi parlais-tu ?,О чём ты говорил?,О чем ты говоришь?,О чем ты говоришь?
11844,De quoi parliez-vous ?,О чём Вы говорили?,О чем вы говорили?,О чем ты говоришь?
11846,Je ne demande pas la lune.,Я не прошу луну с неба.,Я не прошу луну.,Я не прошу луну.
11847,Donna est née avec une cuillère en argent dans la bouche.,Донна родилась с серебряной ложкой во рту.,Донна родилась с деньгами в рот.,Донна родилась с деньгами в рот.
11849,Ton amitié signifie beaucoup pour moi.,Твоя дружба много для меня значит.,Твоя дружба много значит для меня.,Твоя дружба значит для меня много.
11850,Puis-je avoir un verre d'eau ?,Можно мне стакан воды?,Можно мне стакан воды?,Можно мне стакан воды?
11851,Je suis très occupé ces temps-ci !,Я очень занят в последнее время!,Я очень занят в это время!,Я занят в это время!
11852,"Tante Wang, c'est moi.","Тётя Ванг, это я.","Тетя Ван, это я.","Тетя Ван, это я."
11853,Tu ferais mieux de ne pas boire autant de café si tard le soir.,Ты бы не пил столько кофе на ночь.,Тебе лучше не пить столько кофе так поздно.,Лучше не пить столько кофе так поздно.
11854,"Je n'aime pas le thé, donc je bois généralement du café au petit-déjeuner.","Я не люблю чай, поэтому я обычно пью кофе на завтрак.","Мне не нравится чай, так что я обычно пью кофе на завтрак.","Я не люблю чаю, поэтому обычно я пью кофе на завтрак."
11855,Ce café est si chaud que je n'arrive pas à le boire.,"Этот кофе такой горячий, что я не могу его пить.","Кофе так жарко, что я не могу его выпить.","Кофе так жарко, что я не могу его выпить."
11856,Tu veux boire du thé ou du café ?,Ты хочешь чай или кофе?,Хочешь выпить чаю или кофе?,Хочешь чаю или кофе?
11857,Tu devrais au moins dire « merci ».,"Надо было, по крайней мере, спасибо сказать.","По крайней мере, ты должна сказать спасибо.","Ты должен сказать, что спасибо."
11858,Je préfère voyager en train plutôt que par avion.,"Я предпочитаю путешествовать поездом, а не самолётом.","Я предпочитаю путешествовать, а не воздушным транспортом.","Я лучше путешествую, чем воздушным транспортом. - Да."
11859,"Un jour, elle rencontra un loup dans les bois.",Однажды она встретила в лесу волка.,Однажды она встретила волка в лесу.,Однажды она встречалась с волком в лесу.
11860,Le professeur ordonna que la salle de classe soit nettoyée.,"Профессор указал, что необходимо убрать класс.","Преподаватель утверждал, что классная комната должна быть очищена.",Профессор приказал очистить класс.
11861,Nous sommes heureux de vous aider.,Рады вам помочь.,Мы рады вам помочь.,Мы рады вам помочь.
11862,C'est la raison pour laquelle je ne suis pas d'accord avec toi.,Вот почему я с тобой не согласен.,Вот почему я не согласен с тобой.,Поэтому я не согласен с тобой.
11863,Quel dommage !,Какая жалость!,Какая жалость!,Какая жалость!
11865,"Si tu n'y vas pas, je n'irais pas non plus.","Если ты не пойдёшь, я тоже не пойду.","Если ты не пойдешь, я тоже не пойду.","Если ты не пойдешь, я тоже не поеду."
11867,Bonjour !,Здравствуйте.,Здравствуйте!,Привет!
11872,Il sait très bien jouer au tennis.,Он очень хорошо умеет играть в теннис.,Он хорошо умеет играть в теннис.,"Он очень хорошо знает, как играть в теннис."
11873,Je n'ai pas d'argent.,У меня нет денег.,У меня нет денег.,У меня нет денег.
11874,Pourriez-vous m'expliquer le sens de cette phrase ?,Вы не могли бы объяснить мне смысл этого предложения?,Можете объяснить смысл этого предложения?,Можете объяснить смысл этого предложения?
11875,"Tu ne peux pas dire ""Non.""","Ты не можешь сказать ""нет"".","Ты не можешь сказать ""нет.""","Ты не можешь сказать ""нет."""
11876,Ce garçon a fait exprès de frapper son fils.,Этот мальчик ударил её ребенка специально.,Этот мальчик специально ударил своего сына.,Этот мальчик специально ударил сына.
11878,À quels magazines t'abonnes-tu ?,Какие журналы ты выписываешь?,Какой журнал ты подписываешь?,На какие журналы ты подписываешь?
11879,Le professeur a une grande influence sur ses élèves.,Учитель оказывает сильное влияние на учеников.,Учитель имеет большое влияние на своих учеников.,Профессор очень сильно влияет на своих учеников.
11880,Tu peux inviter qui tu veux.,"Ты можешь пригласить, кого захочешь.",Ты можешь пригласить кого хочешь.,Ты можешь пригласить кого хочешь.
11882,Puis-je emprunter ce livre ?,Я могу одолжить эту книгу?,Могу я взять эту книгу?,Можно мне зайти в эту книгу?
11883,Tom n'a pas besoin d'aller à l'école aujourd'hui.,Тому сегодня не надо идти в школу.,Тому сегодня не нужно ходить в школу.,Тому сегодня не нужно идти в школу.
11884,As-tu un travail à temps partiel ?,Ты работаешь на полставки?,У тебя есть работа неполный рабочий день?,Ты работаешь неполный рабочий день?
11885,À quelle heure te lèves-tu ?,Во сколько ты встаёшь?,Во сколько ты встаешь?,Когда ты встаешь?
11887,Les conducteurs doivent respecter le code de la route.,Водители должны соблюдать правила дорожного движения.,Водители должны соблюдать правила дорожного движения.,Водители должны соблюдать правила дорожного движения.
11888,Les femmes vivent généralement plus longtemps que les hommes.,Женщины обычно живут дольше мужчин.,"Женщины, как правило, живут дольше, чем мужчины.","Женщины обычно живут дольше, чем мужчины."
11889,Il n'y avait personne ici à part moi.,"Здесь никого не было, кроме меня.","Здесь никого не было, кроме меня.",Я не был здесь.
11890,"L'Afrique est un continent, le Groenland non.","Африка — это материк, Гренландия — нет.","Африка - континент, а не Гренландия.","Африка - это континент, а не Гренландия."
11891,Le smog est l'ennemi des poumons en bonne santé.,Смог — враг здоровых лёгких.,Смог - это здоровый враг легких.,"Смог - это враг лёгких, здорово здоровых."
11892,J'ai trouvé ce test difficile.,Тест мне показался сложным.,Я нашёл этот трудный тест.,Я нашла этот трудный тест.
11893,Il est difficile de répondre à ta question.,На твой вопрос сложно ответить.,Трудно ответить на твой вопрос.,Трудно ответить на твой вопрос.
11895,Tu peux chanter une chanson.,Можешь спеть песню.,Ты можешь петь песню.,Ты можешь петь песню.
11896,«Combien de temps va durer la réunion ?» «Deux heures.»,"""Сколько продлится собрание?"" - ""Два часа"".",Время продлится?...........................................................................................................................,□ Сколько времени будет длиться заседание?
11897,Je veux une guitare.,Я хочу гитару.,Я хочу гитару.,Я хочу гитару.
11898,Je n'aime pas cette montre.,Мне не нравятся эти часы.,Мне не нравятся эти часы.,Я не люблю часы.
11899,J'ai perdu mon stylo.,Я потерял свою ручку.,Я потеряла свою ручку.,Я потерял свою ручку.
11902,As-tu un crayon ?,У тебя есть карандаш?,У тебя есть карандаш?,У тебя есть карандаш?
11904,La pointe du crayon s'est émoussée.,Карандаш затупился.,Наверху карандаш разозлился.,Крыса сломала.
11905,"Écris avec un stylo, non avec un crayon.","Пиши ручкой, а не карандашом.","Напиши ручку, а не карандаш.","Напиши ручку, а не карандаш."
11906,Écrivez votre nom avec un crayon s'il vous plaît.,"Пожалуйста, напишите ваше имя карандашом.","Напишите ваше имя с карандашом, пожалуйста.","Напишите свое имя карандашом, пожалуйста."
11908,Le train voyage à la vitesse de 50 miles par heure.,Поезд идёт со скоростью 50 миль в час.,Поезд на скорости 50 миль в час.,В час поезд путешествует со скоростью 50 миль.
11909,"Elle n'a que deux ans, mais elle sait déjà compter jusqu'à 100.","Ей всего два года, а она уже умеет считать до ста.","Ей всего два года, но она уже знает, сколько стоит до 100.","Ей всего два года, но она уже знает, сколько стоит 100."
11910,Bill est complètement différent de son frère.,Билл совершенно не похож на своего брата.,Билл совершенно отличается от брата.,Билл совсем не отличается от брата.
11911,Je me suis dit : « C’est une bonne idée ».,Я сказал себе: «Это хорошая идея».,"Я подумала: ""Хорошая идея.""","Я подумал: ""Красная идея - хорошая идея."""
11912,"En ce qui me concerne, je n’ai pour le moment rien à dire.","Что касается меня, то мне пока сказать нечего.","Что касается меня, то сейчас я ничего не скажу.","Что касается меня, то сейчас я не буду ничего говорить."
11913,Argl ! Mon ordinateur a encore planté !,Тьфу! Мой компьютер снова завис!,"Аргл, мой компьютер снова посадил!","Аргл, мой компьютер снова посадил!"
11914,Il l’a attendu jusqu'à 10 heures.,Он ждал его до десяти часов.,Он ждал его до 10 часов.,Он ждал его до 10 часов.
11915,Je vis au Japon.,Я живу в Японии.,Я живу в Японии.,Я живу в Японии.
11916,Il est originaire de Géorgie.,Он родом из Грузии.,Он из Грузии.,Он из Грузии.
11917,"À cette époque, le Mexique n'était pas encore indépendant de l'Espagne.",Мексика тогда ещё не была независима от Испании.,В то время Мексика еще не была независимой от Испании.,Тогда Мексика еще не была независимой от Испании.
11918,Le latin est une langue morte.,Латынь - мёртвый язык.,Латин - мёртвый язык.,Латин - мертвый язык.
11919,La Suisse est un pays neutre.,Швейцария - нейтральная страна.,Швейцария - нейтральная страна.,Швейцария является нейтральной страной.
11920,Il est revenu de Chine.,Он вернулся из Китая.,Он вернулся из Китая.,Он вернулся из Китая.
11921,N’importe quel papier conviendra parfaitement.,Любая бумага прекрасно подойдёт.,Вся бумага будет идеальной.,Вся бумага будет в полном объеме.
11922,Tu peux trouver une meilleure idée ?,У тебя есть идея получше?,Можешь найти лучшую идею?,Ты можешь найти лучшую идею?
11924,"Aujourd’hui, il fait horriblement froid.",Сегодня ужасно холодно.,Сегодня он ужасно холоден.,Сегодня он очень холодно.
11925,Cette tradition est née en Chine.,Эта традиция зародилась в Китае.,Эта традиция родилась в Китае.,Эта традиция родилась в Китае.
11926,Ce fromage est fait avec du lait de chèvre.,Этот сыр сделан из козьего молока.,Этот сыр с козным молоком.,Эта сыра с козным молоком.
11928,Marie s’est enfermée dans la chambre et a fermé toutes les fenêtres.,Мария закрылась в комнате и закрыла все окна.,Мария заперлась в комнате и закрыла все окна.,Мэри заперта в комнате и закрыла все окна.
11929,Il était en France.,Он был во Франции.,Он был во Франции.,Он был во Франции.
11931,Betty tua sa mère.,Бетти убила свою мать.,Бетти убила свою мать.,Бетти убила мать.
11932,Ma mère parle lentement.,Моя мать говорит медленно.,Моя мама говорит медленно.,Мама говорит медленно.
11933,La Suisse est un beau pays.,Швейцария - красивая страна.,Швейцария - прекрасная страна.,Швейцария - это красивая страна.
11934,Le Canada est plus grand que le Japon.,Канада больше Японии.,"Канада больше, чем Япония.","Канада больше, чем Япония."
11935,Mon oncle est mort hier d’un cancer à l’estomac.,Мой дядя вчера умер от рака желудка.,Вчера мой дядя умер от рака в желудке.,Мой дядя умер вчера от рака в животе.
11936,Qu'est-ce que tu fais là ?,Что ты здесь делаешь?,Что ты здесь делаешь?,- Что ты здесь делаешь?
11939,"J’ai été pris sous la pluie, et suis tout trempé.",Я попал под дождь и весь промок.,"Я был взят под дождя, и все было взволновано.",Я брался под дождём и все запутался.
11940,Le Japon a des relations diplomatiques avec la Chine.,Япония имеет дипломатические отношения с Китаем.,Япония имеет дипломатические отношения с Китаем.,Япония имеет дипломатические отношения с Китаем.
11942,Il a écrit un livre sur la porcelaine.,Он написал книжку про фарфор.,Он написал книгу о свинине.,Он написал книгу о фарфоре.
11943,J’ai tout dit.,Я всё сказал.,Я всё сказал.,Я всё сказала.
11947,Il ne parle pas notre langue.,Он не говорит на нашем языке.,Он не говорит на нашем языке.,Он не говорит на нашем языке.
11949,C’est produit en Suisse ?,Это сделано в Швейцарии?,"СЬЮ-Эст, производимый в Швейцарии?",В Швейцарии?
11950,Il reste encore une question que nous devons discuter.,"Остаётся ещё один вопрос, который нам надо обсудить.","Остается еще один вопрос, который нам нужно обсудить.","Еще один вопрос, который нам нужно обсудить."
11951,Bill était au Japon.,Билл был в Японии.,Билл был в Японии.,Билл был в Японии.
11952,Bill a été au Japon.,Билл был в Японии.,Билл был в Японии.,Билл был в Японии.
11954,Il a été en France.,Он был во Франции.,Он был во Франции.,Он был во Франции.
11955,Je l’ai rencontré lorsque j’étais à Paris.,"Я познакомился с ним, когда был в Париже.","Я встретил его, когда был в Париже.","Я встречался с ним, когда я был в Париже."
